country,year,GDP,Unemployment,Interest_Rate,Debt,Working_Age_Pop,Inflation,Current_Account,Global_Oil
India,2013,1856721507621.58,7.711,10.2916666666667,50.3118273627008,64.8769968339134,10.0178784746103,-2.64566711733892,220.237747103227
India,2014,2039126479154.52,7.674,10.25,49.9009248748319,65.2562148871274,6.66565671867896,-1.33950896483453,203.16687450381
India,2015,2103588360044.94,7.631,10.0083333333333,49.9647183856551,65.6177857140772,4.9069734412726,-1.06754907167965,116.88467731856996
India,2016,2294796885663.16,7.601,9.6725,47.6337555915272,65.9731160836743,4.94821634062135,-0.52788060603752,99.9999999999997
India,2017,2651474262755.45,7.618,9.50833333333333,47.5836093800197,66.3274225183491,3.328173374613,-1.43948820320989,122.7425668981605
India,2018,2702929641648.74,7.652,9.45416666666667,46.5224986659322,66.6529850197096,3.93882646691633,-2.42697545810527,155.565059212108
India,2019,2835606256558.19,6.51,9.46625,45.12994845294169,66.944203338595,3.72950573539127,-1.04961203910072,142.88757825015574
India,2020,2674851578587.27,7.859,9.15,44.131348136772004,67.2377729174314,6.62343677628536,1.22362111042791,96.2593228900347
India,2021,3167270623260.47,6.38,8.69833333333333,43.13274782060232,67.5490478920304,5.13140747176368,-1.05524166809383,156.3461425646965
India,2022,3346107287730.93,4.822,8.56714285714286,42.13414750443263,67.8132963616236,6.69903414079849,-2.36247481487452,231.3828646658915
India,2023,3638489096033.86,4.172,8.471554424464735,41.13554718826295,68.0210944742065,5.64914318907929,-0.878262847208682,194.26053940002424
India,2024,3912686168582.21,4.202,8.28240725552327,40.13694687209326,68.2295801537644,4.95303550973652,-0.821660552648862,191.77688801027324
Italy,1995,1177369428265.78,11.661,13.236,0.0,68.3638811038942,5.23542258044301,2.13154267228955,36.51207752578947
Italy,1996,1314776508972.27,11.864,12.81833333,0.0,68.4556993510288,4.0069766898104,3.04033411855202,45.33193878772347
Italy,1997,1244988176443.84,11.985,10.50948333,0.0,68.2339483079122,2.04310779750136,2.59252960256439,45.14363585816453
Italy,1998,1272729786996.77,12.117,8.643108333,0.0,68.0179729180157,1.9550855771938,1.57984290749103,31.36656182286985
Italy,1999,1255004736463.98,11.681,6.345525,0.0,67.7764724054295,1.66345995007715,0.79555262294696,42.71588215692125
Italy,2000,1149661363439.38,10.834,7.022741667,0.0,67.5085230928763,2.53768532095001,-0.270230356072507,69.41210844837282
Italy,2001,1172041488805.87,9.599,7.28775,0.0,67.2460964897238,2.78516542713554,0.15478537448926,61.764241720543275
Italy,2002,1281746271196.04,9.211,6.536508333,0.0,66.9579864831676,2.46532319171166,-0.489738960441859,61.907585382371835
Italy,2003,1582930016538.82,8.869,5.83035,0.0,66.7276486841402,2.67255552772849,-0.766212290849885,66.31480412915562
Italy,2004,1812808753294.75,7.866,5.506166667,0.0,66.5171341036441,2.20673661423658,-0.4953081424742,81.92991415763237
Italy,2005,1864982261286.85,7.73,5.313935,0.0,66.2471392322581,1.9852929852798,-0.896244191801555,116.54474163654557
Italy,2006,1958563654385.64,6.777,5.621779167,0.0,65.9798087065192,2.09084391012754,-1.44603855867144,140.57525119034
Italy,2007,2222524108127.65,6.076,6.3347,0.0,65.8315160605745,1.82974112202403,-1.35566295251184,148.983609180963
Italy,2008,2417508414187.19,6.723,6.83731,0.0,65.7691092145749,3.34783258401022,-2.68669173430211,195.274434506963
Italy,2009,2209484319012.65,7.749,4.756666667,0.0,65.6480061547799,0.774768131387376,-1.77411764067094,127.67050890395004
Italy,2010,2144936254535.0,8.363,4.031666667,0.0,65.5049888211785,1.52551602118248,-3.24412215335914,166.65201477411526
Italy,2011,2306974020278.21,8.359,4.599166667,0.0,65.3052108613489,2.78063272879327,-2.74163808728921,211.677798671128
Italy,2012,2097929495121.68,10.655,5.2225,0.0,65.0318565461314,3.04136333226773,-0.215238993496647,220.41245861719725
Italy,2013,2153225581941.46,12.149,5.144166667,0.0,64.7515846412995,1.21999342274302,1.03825599780866,220.237747103227
Italy,2014,2173255507985.84,12.683,4.866666667,0.0,64.4745737605598,0.241047429826794,1.70979552518119,203.16687450381
Italy,2015,1845428048839.1,11.896,4.12925,0.0,64.264608211041,0.0387903996579146,1.23326652485505,116.88467731856996
Italy,2016,1887111188176.93,11.688,3.496166667,0.0,64.1355493804101,-0.094016656915686,2.46140246001819,99.9999999999997
Italy,2017,1970720904584.71,11.211,3.000833333,0.0,64.0491957667784,1.22653316645805,2.47968309636806,122.7425668981605
Italy,2018,2099435266458.67,10.61,2.68,0.0,63.976292081862,1.13748763600396,2.57144669559437,155.565059212108
Italy,2019,2019606796583.53,9.951,2.6025,0.0,63.8719351973526,0.611246943765281,3.23388196417885,142.88757825015574
Italy,2020,1907481094079.23,9.164,2.328333333,0.0,63.7947913907968,-0.137707573916501,3.9369545603398,96.2593228900347
Italy,2021,2179207773596.09,9.497,2.025916667,0.0,63.7233470647178,1.87378325762482,2.1243004153607,156.3461425646965
Italy,2022,2104067630319.46,8.069,2.264455,0.0,63.6810296805062,8.20128991161714,-1.72642752142058,231.3828646658915
Italy,2023,2304605139862.79,7.627,4.89248125,0.0,63.6367816692365,5.62219442195906,0.141483235698338,194.26053940002424
Italy,2024,2372774547793.12,6.778,5.252445833,0.0,63.4829186800159,0.98237302306138,1.1277967732789,191.77688801027324
Japan,1995,5545563663889.7,3.15,3.505833333,0.0,69.7026222846472,-0.127899045020453,1.40135364357911,36.51207752578947
Japan,1996,4923391533851.63,3.383,2.657583333,0.0,69.4675750807091,0.136600358575942,1.40135364357911,45.33193878772347
Japan,1997,4492448605638.94,3.374,2.448833333,0.0,69.1717668350581,1.74780458692129,2.12480738385175,45.14363585816453
Japan,1998,4098362709531.24,4.078,2.320916667,0.0,68.8656637769943,0.661974191385939,2.79831344439406,31.36656182286985
Japan,1999,4635982224063.88,4.677,2.160833333,0.0,68.5498804257651,-0.341296928327602,2.46175299896328,42.71588215692125
Japan,2000,4968359075956.59,4.748,2.067166667,0.0,68.1776733120971,-0.67657868359508,2.63045548903539,69.41210844837282
Japan,2001,4374711694090.87,5.02,1.969416667,0.0,67.7479909107131,-0.740055504162812,1.97087092323799,61.764241720543275
Japan,2002,4182846045873.61,5.386,1.864916667,0.0,67.3244500484678,-0.923494026942286,2.60256520794997,61.907585382371835
Japan,2003,4519561645253.53,5.251,1.822083333,0.0,66.9575836342452,-0.25654181631606,3.08393890811207,66.31480412915562
Japan,2004,4893116005656.56,4.734,1.766583333,0.0,66.5365880427247,-0.0085733882030604,3.71938350458584,81.92991415763237
Japan,2005,4831467035389.8,4.446,1.676916667,0.0,65.9657352913659,-0.282946068764429,3.52114065640567,116.54474163654557
Japan,2006,4601663122649.92,4.192,1.664833333,0.0,65.3532182401032,0.249355116079105,3.79586172862876,140.57525119034
Japan,2007,4579750920354.81,3.888,1.88325,0.0,64.7793337379624,0.0600394544986545,4.62330048259255,148.983609180963
Japan,2008,5106679115127.3,4.002,1.9095,0.0,64.214111256134,1.38007886164926,2.78294234789655,195.274434506963
Japan,2009,5289493117993.89,5.068,1.723333333,0.0,63.7809247445693,-1.35283672951723,2.75409583494435,127.67050890395004
Japan,2010,5759071769013.11,5.102,1.598333333,0.0,63.5310455900648,-0.728243207517766,3.83547896264376,166.65201477411526
Japan,2011,6233147172341.35,4.55,1.500916667,0.0,63.0577639232849,-0.272455616101245,2.07915328846556,211.677798671128
Japan,2012,6272362996105.03,4.358,1.4075,0.0,62.2912286364192,-0.0440645104432608,0.95844261141204,220.41245861719725
Japan,2013,5212328181166.18,4.038,1.30375,0.0,61.4978527996995,0.335037912184772,0.889785415808863,220.237747103227
Japan,2014,4896994405353.29,3.589,1.219166667,0.0,60.8030853939639,2.75922671353253,0.742322049627638,203.16687450381
Japan,2015,4444930651964.18,3.385,1.142833333,0.0,60.2326202870854,0.795279630579784,3.0702796590698,116.88467731856996
Japan,2016,5003677627544.24,3.132,1.04475,0.0,59.7647226208824,-0.127258844489712,3.93809128404804,99.9999999999997
Japan,2017,4930837369151.42,2.822,0.994,0.0,59.4143459524436,0.484199796126422,4.12036966283801,122.7425668981605
Japan,2018,5040880939324.86,2.467,0.9275141921984931,0.0,59.1635617451289,0.989094598021811,3.51661817468288,155.565059212108
Japan,2019,5117993853016.51,2.351,0.8475671554415825,0.0,59.0046702146202,0.468776159383928,3.45076611445328,142.88757825015574
Japan,2020,5054068005376.28,2.809,0.7676201186846718,0.0,58.861072796091,-0.024995834027682,2.96847858242384,96.2593228900347
Japan,2021,5039148168861.22,2.828,0.6876730819277612,0.0,58.7347384818338,-0.23335277939831,3.89996604353179,156.3461425646965
Japan,2022,4262463317796.53,2.6,0.6077260451708506,0.0,58.7384165155584,2.49770278172251,2.11637961936876,231.3828646658915
Japan,2023,4213167237905.83,2.6,0.52777900841394,0.0,58.7888993029413,3.26813365933164,3.71672795030717,194.26053940002424
Japan,2024,4026210821146.81,2.563,0.44783197165702937,0.0,58.7831280041029,2.73853681635243,4.82480926257698,191.77688801027324
Russian Federation,1995,395537185734.854,9.449,32.04166667,143.948999533393,66.9515268528412,197.414268084251,1.88045783512905,36.51207752578947
Russian Federation,1996,391724890744.498,9.665,32.04166667,143.948999533393,67.1458411276542,47.7520122009939,2.57898342400441,45.33193878772347
